WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
37,2,10,3,2,1,1,1,1,0,0,1,0,3,4110,36,
57,2,7,3,2,1,1,1,1,1,0,3,2,1,4110,36,
39,6,4,2,1,1,1,1,1,0,1,1,2,3,4110,36,
155,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
123,0,4,1,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
188,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
54,4,9,3,2,1,1,1,1,0,0,2,0,1,4110,36,
170,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
34,1,3,1,5,1,6,1,1,1,0,0,1,3,4110,36,
66,2,3,1,2,1,1,1,1,2,0,4,2,3,4110,36,
103,2,4,2,2,1,1,1,1,0,0,1,0,2,4110,36,
79,4,3,2,2,1,1,1,1,1,0,1,1,3,4110,36,
152,3,6,3,2,1,1,1,1,0,0,2,0,1,4110,36,
70,4,6,4,8,1,7,1,1,0,0,0,0,3,4110,36,
56,1,8,4,9,1,4,1,1,0,0,0,0,2,4110,36,
75,1,4,2,5,1,6,3,1,1,0,0,1,3,4110,36,
46,0,3,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
55,3,7,3,2,1,1,1,1,0,0,3,2,1,4110,36,
81,1,5,2,9,1,4,1,1,1,0,0,1,2,4110,36,
117,1,4,2,5,1,6,1,1,1,0,0,1,3,4110,36,
33,2,3,2,7,1,3,1,1,0,0,7,0,3,4110,36,
63,3,5,2,7,1,3,1,1,0,0,7,0,3,4110,36,
68,2,6,4,2,1,1,3,1,0,0,3,0,4,4110,36,
34,4,5,3,2,1,1,1,1,0,0,1,0,1,4110,36,
42,1,4,3,5,1,6,1,1,1,0,0,1,1,4110,36,
61,2,6,4,8,1,7,1,1,2,0,0,2,2,4110,36,
49,2,6,3,11,1,2,1,1,1,0,5,1,1,4110,36,
179,1,4,2,9,1,4,3,1,1,0,0,1,3,4110,36,
178,3,6,1,1,1,1,1,1,0,1,1,0,1,4110,36,
38,4,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
89,5,4,3,1,1,1,1,1,0,1,1,0,3,4110,36,
40,1,6,1,9,1,4,1,1,0,0,0,0,3,4110,36,
179,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
75,3,5,2,7,1,3,1,1,0,0,7,0,1,4110,36,
166,2,4,2,8,1,7,1,1,0,0,0,0,3,4110,36,
96,2,6,3,7,1,3,1,1,0,0,7,1,3,4110,36,
